FID,X,Y,Ano
639,-74.13970508,4.547424088,2010
640,-74.0838023,4.606304385,2010
641,-74.1335541,4.563066506,2010
642,-74.14206925,4.540921584,2010
643,-74.11411907,4.577419836,2010
644,-74.14495143,4.554219635,2010
645,-74.14417452,4.552904665,2010
646,-74.14865956,4.548624869,2010
647,-74.14533044,4.544546358,2010
648,-74.14663349,4.531438749,2010
649,-74.14940373,4.538490584,2010
650,-74.15173944,4.55287618,2010
651,-74.15124276,4.548785191,2010
652,-74.08603559,4.604838959,2010
653,-74.14334607,4.55897722,2010
654,-74.09005692,4.601104206,2010
655,-74.10010338,4.586980501,2010
656,-74.14704029,4.56151583,2010
657,-74.13070931,4.569307965,2010
658,-74.01698715,4.73667774,2010
659,-74.0748572,4.5858305,2010
660,-74.01898951,4.734876067,2010
661,-74.07448517,4.588435108,2010
662,-74.07333087,4.591684346,2010
663,-74.07862095,4.581868604,2010
664,-74.1524691,4.542379544,2010
665,-74.0847434,4.609067279,2010
666,-74.15521724,4.548917337,2010
667,-74.09140013,4.601929069,2010
668,-74.04096892,4.774760912,2010
669,-74.15215462,4.540040203,2010
670,-74.04574039,4.74523519,2010
671,-74.1490358,4.565798335,2010
672,-74.14326913,4.571156971,2010
673,-74.05294281,4.704450201,2010
674,-74.11810335,4.580643949,2010
675,-74.12687533,4.578228672,2010
676,-74.15511891,4.54057064,2010
677,-74.12766143,4.580578935,2010
678,-74.13224005,4.579614476,2010
679,-74.10034635,4.593582465,2010
680,-74.16068282,4.542077793,2010
681,-74.13810158,4.578246246,2010
682,-74.09445947,4.605760634,2010
683,-74.15590983,4.544195935,2010
684,-74.0721393,4.664396015,2010
685,-74.07068617,4.666403196,2010
686,-74.10063361,4.557011091,2010
687,-74.07484294,4.589682842,2010
688,-74.11545116,4.539193217,2010
689,-74.02069211,4.73432403,2010
690,-74.02073771,4.734298562,2010
691,-74.05752653,4.632355524,2010
692,-74.1120156,4.542317804,2010
693,-74.12026758,4.524277931,2010
694,-74.0713227,4.589810912,2010
695,-74.09858855,4.544259886,2010
696,-74.08108156,4.627645432,2010
697,-74.09677473,4.609710536,2010
698,-74.10167847,4.605684319,2010
699,-74.10716309,4.601546692,2010
700,-74.10923126,4.600256067,2010
701,-74.12345125,4.588639126,2010
702,-74.10745758,4.604416662,2010
703,-74.11051461,4.606055586,2010
704,-74.10380936,4.614812966,2010
705,-74.11332331,4.541645568,2010
706,-74.07081601,4.588099763,2010
707,-74.07752276,4.587532176,2010
708,-74.07853252,4.584376039,2010
709,-74.07706708,4.58865855,2010
710,-74.11322839,4.542794828,2010
711,-74.01396691,4.73388758,2010
712,-74.07034853,4.590578912,2010
713,-74.06937891,4.591384244,2010
714,-74.16960582,4.568557986,2010
715,-74.07610783,4.673982828,2010
716,-74.1655668,4.569871888,2010
717,-74.16476773,4.570137204,2010
718,-74.15498433,4.574631854,2010
719,-74.15495303,4.575486445,2010
720,-74.1564775,4.575737826,2010
721,-74.16382615,4.574217845,2010
722,-74.06317239,4.680250045,2010
723,-74.11656453,4.539518367,2010
724,-74.02138486,4.737175578,2010
725,-74.11755857,4.539746478,2010
726,-74.07840127,4.587090644,2010
727,-74.0783741,4.587810601,2010
728,-74.10721793,4.557492006,2010
729,-74.1034978,4.631652823,2010
730,-74.10941257,4.623652606,2010
731,-74.11380025,4.617295509,2010
732,-74.11839687,4.607518799,2010
733,-74.07292627,4.672240464,2010
734,-74.12088753,4.615300523,2010
735,-74.11726716,4.619306675,2010
736,-74.11625568,4.618643423,2010
737,-74.05572,4.733267401,2010
738,-74.13644423,4.596482617,2010
739,-74.11239659,4.626542795,2010
740,-74.08150753,4.66267222,2010
741,-74.05945804,4.747939023,2010
742,-74.11749331,4.623117471,2010
743,-74.11903446,4.622152867,2010
744,-74.06450714,4.727748375,2010
745,-74.05943026,4.747870537,2010
746,-74.07706882,4.674876107,2010
747,-74.074003,4.731726403,2010
