NOMBRE SEDE	sector	s11Y2016	eval_puntaje	Tipo de educación	DIRECCIÓN	Latitud	Longitud	Localidad	texto
CENT EDUC DIST SANTA LIBRADA	OFICIAL	67	2556567	TRADICIONAL	CL 75 A SUR 1 B 45 ESTE	4.514219444	-74.11324167	USME	C142
COLEGIO FERNANDO GONZALEZ OCHOA	OFICIAL	94	2537766	TRADICIONAL	KR 4 D ESTE 89 55 SUR	4.502527778	-74.10191944	USME	C143
CENT EDUC DIST MANUELA BELTRAN	OFICIAL	96	2540521	TRADICIONAL	KR 45 C 69 D 15 SUR	4.572527778	-74.1576	CIUDAD BOLIVAR	C144
ORLANDO FALS BORDA (ANTES BARRANQUILLITA)	OFICIAL	108	2540093	TRADICIONAL	KR 1 A ESTE 72 60 SUR	4.519488889	-74.11568333	USME	C145
CENT EDUC DIST SAN BERNARDINO	OFICIAL	102	2555784	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	KR 87 B 79 C 51 SUR	4.617833333	-74.20136944	BOSA	C146
CENT EDUC DIST NUEVA CONSTITUCION	OFICIAL	122	2533525	TRADICIONAL	KR 107 B 74 B 31	4.710841667	-74.12177222	ENGATIVA	C147
CENT EDUC DIST ALTAMIRA SUR ORIENTAL	OFICIAL	129	2429612	TRADICIONAL	CL 42 A SUR 12 A 27 ESTE	4.545480556	-74.08474722	SAN CRISTOBAL	C148
COL DIST TOMAS RUEDA VARGAS	OFICIAL	166	2535723	TRADICIONAL	KR 5 ESTE 25 51 SUR	4.564591667	-74.08723333	SAN CRISTOBAL	C149
COL DIST EDUC BAS Y MEDIA LOS ALPES	OFICIAL	148	2492635	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	KR 12 ESTE 33 A 80 SUR	4.55275	-74.08419444	SAN CRISTOBAL	C150
CEDID CIUDAD BOLIVAR	OFICIAL	274	2483905	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	CL 70 SUR 56 11	4.577869444	-74.16589444	CIUDAD BOLIVAR	C151
COLEGIO JOSÉ FRANCISCO SOCARRAS (IED) - SEDE PRINCIPAL	OFICIAL	375	2560107	TRADICIONAL	KR 88 C 66 A 03 SUR	4.625258333	-74.1948	BOSA	C152
COL CUIDADELA EDUCATIVA BOSA (INS EDUC DIST)	OFICIAL	412	2658956	TRADICIONAL	CL 52 SUR 97 35	4.640408333	-74.18742778	BOSA	C153
CENT EDUC DIST MARRUECOS Y MOLINOS	OFICIAL	319	2638401	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	CL 49 D BIS SUR 5 X 02	4.555223587	-74.1178894	RAFAEL URIBE	C154
CENT EDUC DIST NUEVA COLOMBIA	OFICIAL	219	2638174	TRADICIONAL	CL 128 102 A 10	4.728366667	-74.09953889	SUBA	C155
