OBJECTID,X,Y,Anio
13181,-74.04538353,4.74699864,2010
13182,-74.03973815,4.715294969,2010
13186,-74.10369808,4.621575207,2010
13187,-74.13454453,4.604725107,2010
13188,-74.06890377,4.603635879,2010
13189,-74.10343194,4.616516648,2010
13190,-74.05179606,4.697931464,2010
13191,-74.06207659,4.659406432,2010
13193,-74.04004011,4.695895421,2010
13195,-74.05586162,4.716975683,2010
13197,-74.06258877,4.636533244,2010
13198,-74.06668079,4.629789294,2010
13199,-74.03509721,4.725207716,2010
13200,-74.03343237,4.694067868,2010
13201,-74.10836011,4.673872502,2010
13202,-74.04984032,4.669938929,2010
13203,-74.06700689,4.621311504,2010
13204,-74.09177581,4.739424039,2010
13205,-74.12918143,4.619598711,2010
13206,-74.07435417,4.617940146,2010
13207,-74.08446547,4.691042984,2010
13208,-74.06028832,4.68119814,2010
13209,-74.16699955,4.623087593,2010
13212,-74.18911054,4.614320776,2010
13213,-74.09446264,4.72510858,2010
13214,-74.17729902,4.597333707,2010
13215,-74.05693948,4.651768123,2010
13217,-74.07347635,4.607250558,2010
13218,-74.16221871,4.689492648,2010
13219,-74.05320131,4.641237807,2010
13220,-74.06133416,4.648810126,2010
13221,-74.02413624,4.767038787,2010
13222,-74.11339977,4.616372125,2010
13223,-74.16952813,4.617307371,2010
13224,-74.04747355,4.712146878,2010
13225,-74.05927718,4.648280277,2010
13226,-74.06164204,4.632641007,2010
13227,-74.11856615,4.620155471,2010
13228,-74.07950856,4.603659248,2010
13231,-74.12722481,4.597178744,2010
13233,-74.07309113,4.594289345,2010
13234,-74.1859986,4.598137424,2010
13236,-74.03711642,4.73249027,2010
13237,-74.06615585,4.630181253,2010
13239,-74.04559491,4.664591217,2010
13240,-74.09223318,4.636952443,2010
13241,-74.0844272,4.615274173,2010
13242,-74.03701357,4.727729043,2010
13244,-74.09561836,4.686837637,2010
13245,-74.10688279,4.642292776,2010
13246,-74.06438701,4.64396356,2010
13247,-74.10100928,4.604498254,2010
13248,-74.14459063,4.602982541,2010
13249,-74.08559106,4.742093583,2010
13252,-74.06350915,4.649440741,2010
13253,-74.13749575,4.61871163,2010
13254,-74.15359599,4.63062688,2010
13255,-74.10177774,4.758677559,2010
13258,-74.10226284,4.584929133,2010
13259,-74.09373717,4.576551681,2010
13260,-74.10881191,4.680253941,2010
13261,-74.10525989,4.707985768,2010
13262,-74.07017916,4.610025946,2010
13263,-74.10770158,4.661086919,2010
13264,-74.10986665,4.62714371,2010
13265,-74.11484458,4.582803621,2010
13266,-74.05183639,4.693025,2010
13267,-74.09087901,4.589733792,2010
13269,-74.07470483,4.605092293,2010
13270,-74.04726502,4.718082984,2010
13271,-74.1303512,4.685066644,2010
13272,-74.06308929,4.651973608,2010
13273,-74.18015888,4.604837582,2010
13275,-74.13078949,4.633838259,2010
13276,-74.0746157,4.601383182,2010
13277,-74.0746157,4.601383182,2010
13278,-74.08888109,4.737747626,2010
13279,-74.1613162,4.577647023,2010
13280,-74.11365021,4.697690048,2010
13281,-74.06102536,4.682528755,2010
13282,-74.06718377,4.621452149,2010
13283,-74.10285823,4.581262077,2010
13285,-74.13853265,4.591463484,2010
13288,-74.11993003,4.632024855,2010
13289,-74.14660382,4.596072686,2010
13290,-74.06575446,4.689506083,2010
13291,-74.07387426,4.641822772,2010
13294,-74.12431478,4.685093911,2010
13295,-74.09811864,4.711316052,2010
13298,-74.04795365,4.675406531,2010
13299,-74.05685352,4.656147973,2010
13300,-74.11153565,4.709635466,2010
13302,-74.07770442,4.596174405,2010
13304,-74.05856511,4.657294596,2010
13305,-74.18206775,4.61100892,2010
13306,-74.14945085,4.567648124,2010
13307,-74.0941044,4.698289378,2010
13308,-74.13654005,4.580937172,2010
13309,-74.04374296,4.722494288,2010
13310,-74.18340123,4.629201046,2010
13311,-74.07657438,4.635782429,2010
