OBJECTID_1	Nombre	Direccion	Caracter	POINT_X	POINT_Y
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094455624999900	4640653506650000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094458733099900	4640653251000000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094461845699900	4640653050620000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094464961900000	4640652904410000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094468079899900	4640652812440000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094471198799900	4640652775590000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094474317600000	4640652792990000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094477435599900	4640652864620000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094480552700000	4640652991380000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094483666200000	4640653172450000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094486776899900	4640653408580000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094489882299900	4640653699010000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094492982199900	4640654043610000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094496075799900	4640654442520000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094499162299900	4640654894700000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094502240500000	4640655402010000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094505308899900	4640655962670000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094508367399900	4640656576740000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094511415100000	4640657244970000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094514450099900	4640657965590000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094517472500000	4640658740520000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094520480499900	4640659566930000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094523474100000	4640660446690000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094526451500000	4640661378010000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094529412599900	4640662361710000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094532355799900	4640663397860000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094535280900000	4640664484610000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094538187100000	4640665622020000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094541072499900	4640666810920000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094543936400000	4640668049530000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094546778600000	4640669338800000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094549598200000	4640670677710000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094552394499900	4640672065500000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094555165599900	4640673501140000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094557911300000	4640674986560000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094560630999900	4640676518930000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094563322799900	4640678099220000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094565987500000	4640679725640000
132	MUSEO BERNARDO SAMPER SORDO	AC 26 51 20	PUBL	-74094568623399900	4640681399020000
